,0
0,0.015748711302876472
1,0.003590566571801901
2,0.001366512500680983
3,0.0008666554349474609
4,0.0005749963456764817
5,0.0006665604305453598
6,0.0004929174319840968
7,0.00047492372686974704
8,0.00038470030995085835
9,0.0003410552744753659
10,0.000368094420991838
11,0.00025101948995143175
12,0.00027186473016627133
13,0.0001723720197333023
14,0.0002031114709097892
15,0.00015119633462745696
16,0.0001560140954097733
17,0.00011273095151409507
18,0.00012552122643683106
19,9.560307807987556e-05
20,9.542718180455267e-05
21,8.268642704933882e-05
22,0.00016389918164350092
23,6.216223846422508e-05
24,9.894058166537434e-05
25,0.00011191860539838672
26,6.0146670875838026e-05
27,8.628933574073017e-05
28,9.232479351339862e-05
29,4.64741860923823e-05
30,0.0002854781341738999
31,4.1805400542216375e-05
32,6.493142427643761e-05
33,5.5204636737471446e-05
34,6.628234405070543e-05
35,3.8563190173590556e-05
36,3.851123619824648e-05
37,0.001563354511745274
38,0.00014246933278627694
39,0.00011338321201037616
40,7.904879748821259e-05
41,6.948106602067128e-05
42,8.51410222821869e-05
43,5.904842691961676e-05
44,5.1498482207534835e-05
45,7.774805999360979e-05
46,4.382159386295825e-05
47,6.420673162210733e-05
48,5.142616282682866e-05
49,4.655433076550253e-05
50,3.8668615161441267e-05
51,3.491792449494824e-05
52,4.270615318091586e-05
53,5.5012587836245075e-05
54,9.882281301543117e-05
55,3.114584615104832e-05
56,2.2375897970050573e-05
57,2.7796046197181568e-05
58,2.9805678423144855e-05
59,2.5224931960110553e-05
60,4.36513582826592e-05
61,2.5862867914838716e-05
62,3.5482320527080446e-05
63,3.355909211677499e-05
64,2.6164074370171875e-05
65,2.309031697222963e-05
66,5.078652611700818e-05
67,2.6061596145154908e-05
68,1.9137874915031716e-05
69,4.512617670116015e-05
70,1.405527291353792e-05
71,2.115531788149383e-05
72,3.26919907820411e-05
73,1.7408721760148183e-05
74,3.044059849344194e-05
75,1.1572609764698427e-05
76,2.570445394667331e-05
77,2.8865146305179223e-05
78,2.7649626645143144e-05
79,2.589389987406321e-05
80,1.715596954454668e-05
81,3.923056647181511e-05
82,2.4023962396313436e-05
83,8.593230631959159e-06
84,1.746252746670507e-05
85,1.3120657968102023e-05
86,2.561806650192011e-05
87,1.547857937111985e-05
88,1.95722659555031e-05
89,3.389959238120355e-05
90,1.0285819371347316e-05
91,1.4344823284773156e-05
92,1.4299158465291839e-05
93,1.004218211164698e-05
94,1.5546118447673507e-05
95,2.674483766895719e-05
96,1.9990078726550564e-05
97,2.3994602088350803e-05
98,1.1656722563202493e-05
99,1.1323280887154397e-05
